"((((1.1425, 117.8789), 60000), 0), 0)"
"((((1.1425, 117.8789), 60000), 20), 0)"
"((((1.2829, 198.8483), 80000), 0), 0)"
"((((1.2829, 198.8483), 80000), 20), 0)"
"((((1.1971, 157.9964), -80000), 3.141592653589793), 0)"
"((((1.0723, 82.9422), 80000), -3.141592653589793), 0)"
"((((1.5325, 20.6193), -60000), 0), 0)"
"((((1.5325, 20.6193), -60000), -20), 0)"
"((((1.5559, 10.7373), 60000), 20), 0)"
"((((1.5169, 10.7373), 80000), 0), 0)"
"((((1.5247, 10.7373), 100000), 0), 0)"
"((((1.4935, 20.6193), 100000), -3.141592653589793), 0)"
"((((1.4233, 82.9422), 60000), 20), 0)"
"((((1.3609, 54.5179), 100000), -3.141592653589793), 0)"
"((((1.3297, 117.8789), -60000), 0), 0)"
"((((1.3297, 117.8789), -60000), -20), 0)"
"((((1.3609, 117.8789), 100000), -3.141592653589793), 0)"
"((((1.1893, 82.9422), -80000), 0), 0)"
"((((1.1035, 198.8483), -60000), 3.141592653589793), 0)"
"((((1.2049, 198.8483), -100000), 0), 0)"
"((((1.4545, 198.8483), -80000), 3.141592653589793), 0)"
"((((1.4545, 82.9422), 60000), -3.141592653589793), 0)"
"((((0.9475, 82.9422), 60000), 0), 0)"
"((((0.8305, 33.9805), 20000), 0), 0)"
"((((0.8305, 33.9805), 20000), 20), 0)"
"((((1.0489, 54.5179), 80000), 0), 0)"
"((((1.0489, 54.5179), 80000), 20), 0)"
"((((1.0255, 54.5179), -60000), 0), 0)"
"((((1.0177, 117.8789), 80000), 0), 0)"
"((((1.0177, 117.8789), 80000), -3.141592653589793), 0)"
"((((0.9319, 117.8789), 80000), 0), 0)"
"((((0.9319, 117.8789), 80000), -3.141592653589793), 0)"
"((((0.9631, 33.9805), 80000), 0), 0)"
"((((1.0021, 82.9422), -40000), 0), 0)"
"((((1.0099, 82.9422), 80000), 0), 0)"
"((((0.9553, 198.8483), 100000), -3.141592653589793), 0)"
"((((1.1425, 117.8789), -60000), 0), 0)"
"((((1.1425, 117.8789), -60000), -20), 0)"
"((((1.1659, 157.9964), -40000), 0), 0)"
"((((1.1503, 157.9964), 60000), -3.141592653589793), 0)"
"((((1.4623, 198.8483), -40000), 0), 0)"
"((((1.5169, 20.6193), 40000), -3.141592653589793), 0)"
"((((1.5169, 20.6193), 40000), 20), 0)"
